type,casepath,
expected,Data_NoLevel/accumulo/2_ZooKeeperPropertiesIT.testNoFiles.csv,
expected,Data_NoLevel/accumulo/23_ServerUtilTest.testCanRun.csv,
expected,Data_NoLevel/accumulo/50_ShellServerIT.badLogin.csv
